rank,city1,city2,iata1,iata2,route_code,pax_to,pax_from,total_passengers,route_weight_percent,cumulative_weight_percent
713,DURGAPUR,KOLKATA,,CCU,DURGAPUR-KOLKATA,0,132,132,0.0001,99.9982
714,DIBRUGARH,TEZU,,,DIBRUGARH-TEZU,20,100,120,0.0001,99.9983
715,DEOGHAR,PATNA,,PAT,DEOGHAR-PATNA,44,74,118,0.0001,99.9984
716,AHMEDABAD,RAJKOT,AMD,,AHMEDABAD-RAJKOT,0,115,115,0.0001,99.9985
717,CHENNAI,TIRUPATI,MAA,,CHENNAI-TIRUPATI,112,0,112,0.0001,99.9985
718,AGARTALA,BHUBANESWAR,IXA,BBI,IXA-BBI,18,90,108,0.0001,99.9986
719,PATNA,TRIVANDRUM,PAT,TRV,PAT-TRV,104,0,104,0.0001,99.9987
720,GORAKHPUR,JAIPUR,,JAI,GORAKHPUR-JAIPUR,97,0,97,0.0001,99.9988
721,SRINAGAR,VARANASI,SXR,VNS,SXR-VNS,93,0,93,0.0001,99.9988
722,AMRITSAR,RAJKOT,ATQ,,AMRITSAR-RAJKOT,0,86,86,0.0001,99.9989
723,PATNA,SRINAGAR,PAT,SXR,PAT-SXR,0,83,83,0.0001,99.999
724,KOLKATA,ROURKELA,CCU,,KOLKATA-ROURKELA,27,52,79,0.0001,99.999
725,DEHRADUN,JAMMU,DED,IXJ,DED-IXJ,25,43,68,0.0,99.9991
726,COIMBATORE,MYSORE,CJB,,COIMBATORE-MYSORE,58,0,58,0.0,99.9991
727,DIBRUGARH,ZIRO,,,DIBRUGARH-ZIRO,27,30,57,0.0,99.9992
728,MANGALORE,RAIPUR,IXE,RPR,IXE-RPR,0,55,55,0.0,99.9992
729,RAJAHMUNDRY,VIJAYAWADA,,,RAJAHMUNDRY-VIJAYAWADA,4,51,55,0.0,99.9992
730,GOA,GUWAHATI,GOI,GAU,GOI-GAU,35,15,50,0.0,99.9993
731,KOCHI,INDORE,COK,IDR,COK-IDR,22,26,48,0.0,99.9993
732,INDORE,TRIVANDRUM,IDR,TRV,IDR-TRV,32,15,47,0.0,99.9993
733,RANCHI,SHILLONG,IXR,,RANCHI-SHILLONG,0,43,43,0.0,99.9994
734,KOCHI,NAGPUR,COK,NAG,COK-NAG,8,32,40,0.0,99.9994
735,TRIVANDRUM,TUTICORIN,TRV,,TRIVANDRUM-TUTICORIN,37,0,37,0.0,99.9994
736,BHUBANESWAR,GUWAHATI,BBI,GAU,BBI-GAU,0,35,35,0.0,99.9995
737,BHOPAL,BILASPUR,BHO,,BHOPAL-BILASPUR,13,21,34,0.0,99.9995
738,KOCHI,KOZHIKODE,COK,,KOCHI-KOZHIKODE,34,0,34,0.0,99.9995
739,DABOLIM,DARBHANGA,GOI,,DABOLIM-DARBHANGA,0,32,32,0.0,99.9995
740,KANNUR,VARANASI,,VNS,KANNUR-VARANASI,31,0,31,0.0,99.9996
741,MUMBAI,VIJAYAWADA,BOM,,MUMBAI-VIJAYAWADA,30,0,30,0.0,99.9996
742,CHENNAI,RAJKOT,MAA,,CHENNAI-RAJKOT,0,29,29,0.0,99.9996
743,DIMAPUR,LILABARI,,,DIMAPUR-LILABARI,0,29,29,0.0,99.9996
744,NAGPUR,VARANASI,NAG,VNS,NAG-VNS,0,28,28,0.0,99.9996
745,AHMEDABAD,PANTNAGAR,AMD,,AHMEDABAD-PANTNAGAR,8,18,26,0.0,99.9997
746,ALLAHABAD,JABALPUR,,,ALLAHABAD-JABALPUR,18,8,26,0.0,99.9997
747,LILABARI,ZIRO,,,LILABARI-ZIRO,3,23,26,0.0,99.9997
748,DIBRUGARH,PASIGHAT,,,DIBRUGARH-PASIGHAT,13,12,25,0.0,99.9997
749,KOLKATA,VADODARA,CCU,BDQ,CCU-BDQ,25,0,25,0.0,99.9997
